29,889
61,291
92,525
115,1500
138,843
170,138
201,1028
232,157
272,1500
305,11
339,961
372,97
407,729
436,436
458,115
500,826
531,407
565,1500
593,77
621,63
650,1060
682,565
707,845
735,1500
774,682
797,273
830,1500
864,1500
893,77
918,344
948,202
979,1500
1008,1500
1043,398
1077,652
1109,841
1141,243
1163,189
1192,1500
1214,374
1251,348
1284,931
1316,1500
1340,91
1377,455
1399,799
1419,87
1451,229
1485,1414
1514,93
1543,1500
1562,50
1590,211
1619,1500
1656,40
1696,1113
1732,592
1757,307
1786,142
1817,711
1848,204
1881,713
1912,1396
1943,409
1968,1500
1997,777
2028,444
2054,120
2085,1500
2117,158
2144,1500
2177,846
2210,130
2243,71
2291,1089
2323,79
2349,389
2378,755
2407,1500
2443,189
2475,636
2504,292
2532,1500
2558,1500
2589,98
2625,393
2650,1500
2678,666
2714,338
2739,1043
2763,1500
2801,1077
2826,294
2860,454
2888,435
2924,1500
2958,1124
2979,389
3009,664
3044,297
3071,1500
3103,1005
3134,1296
3170,12
3196,1500
3224,336
3246,500
3273,394
3296,322
3328,675
3354,1500
3397,47
3424,70
3443,1179
3483,771
3513,80
3551,1500
3585,733
